City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,lycksele,64.5954,18.6735,267.83,73,92,2.06,SE,1706841885
289,lianzhou,24.7811,112.3825,285.11,88,100,1.36,CN,1706841885
290,malango,-2.9627,119.9001,302.39,57,30,1.02,ID,1706841885
291,saint-joseph,-21.3667,55.6167,297.36,84,45,8.4,RE,1706841886
292,lata,40.1629,-8.3327,281.44,76,55,1.85,PT,1706841886
293,south suffolk,36.7171,-76.5902,281.06,90,0,0.45,US,1706841886
294,colby,39.3958,-101.0524,279.84,73,0,0.45,US,1706841886
295,kingston,17.997,-76.7936,297.68,88,40,7.2,JM,1706841775
296,alofi,-19.0595,-169.9187,299.92,81,100,5.68,NU,1706841887
297,nijar,36.9665,-2.206,280.73,81,0,4.12,ES,1706841887
298,vanino,49.0869,140.2543,257.0,61,69,4.51,RU,1706841888
299,novy bydzov,50.2415,15.4908,276.74,85,100,5.18,CZ,1706841888
300,nar'yan-mar,67.6713,53.087,270.43,93,95,7.6,RU,1706841888
301,kerema,-7.9631,145.7785,303.35,65,100,2.31,PG,1706841888
302,seaside,36.6111,-121.8516,285.24,89,100,0.89,US,1706841889
303,west salem,43.8991,-91.0813,278.97,72,0,2.06,US,1706841889
304,al jawf,29.5,38.75,277.83,67,0,2.67,SA,1706841889
305,san blas,21.5167,-105.2667,299.09,84,0,0.98,MX,1706841889
306,itoman,26.1247,127.6694,298.76,78,40,3.09,JP,1706841890
307,bandipura,34.4167,74.65,269.36,81,90,2.02,IN,1706841890
308,at-bashi,41.1702,75.8106,253.79,77,15,1.27,KG,1706841891
309,kailua-kona,19.6406,-155.9956,300.65,74,40,3.6,US,1706841891
310,kavaratti,10.5669,72.642,300.59,65,78,4.82,IN,1706841891
311,mount pleasant,32.7941,-79.8626,283.71,87,75,2.57,US,1706841702
312,tutong,4.8,114.65,302.2,72,84,3.58,BN,1706841891
313,yeed,4.55,43.0333,297.99,72,48,3.82,SO,1706841892
314,cururupu,-1.8283,-44.8683,297.99,96,100,1.65,BR,1706841892
315,palmer,42.1584,-72.3287,276.9,87,100,2.06,US,1706841892
316,polevskoy,56.4422,60.1878,255.53,100,100,1.27,RU,1706841893
317,namtsy,62.7161,129.6658,245.44,93,100,1.73,RU,1706841893
318,umred,20.85,79.3333,293.31,34,76,3.55,IN,1706841893
319,yorkton,51.2167,-102.4677,272.06,93,40,6.17,CA,1706841893
320,damghan,36.1683,54.348,273.98,81,100,2.51,IR,1706841894
321,nemuro,43.3236,145.575,266.62,55,36,5.75,JP,1706841894
322,darovskoy,58.77,47.9564,267.58,96,100,3.84,RU,1706841894
323,bayganin,48.6947,55.8742,270.54,95,100,7.3,KZ,1706841894
324,baxter,46.3433,-94.2867,275.31,77,0,2.06,US,1706841800
325,sahy,48.0741,18.9495,275.4,87,94,3.12,SK,1706841895
326,arteche,12.2645,125.4048,300.21,78,100,4.48,PH,1706841895
327,naha,26.2125,127.6811,298.7,76,40,4.12,JP,1706841895
328,valparaiso,-33.0393,-71.6273,289.95,94,0,2.06,CL,1706841896
329,tubarjal,30.4999,38.216,278.7,58,3,3.75,SA,1706841896
330,volodarskiy,46.4013,48.5409,271.12,84,100,4.64,RU,1706841896
331,al ghayzah,16.2079,52.176,296.55,83,72,4.16,YE,1706841897
332,acapulco de juarez,16.8634,-99.8901,301.05,78,100,2.57,MX,1706841850
333,pemba,-12.974,40.5178,297.36,87,99,3.27,MZ,1706841897
334,tofol,5.3248,163.0078,302.03,89,75,4.63,FM,1706841897
335,kikwit,-5.041,18.8162,294.15,95,100,0.85,CD,1706841898
336,okhotsk,59.3833,143.3,254.52,74,98,4.49,RU,1706841898
337,nianzishan,47.5167,122.8833,257.6,54,0,1.94,CN,1706841898
338,birobidzhan,48.8,132.95,255.95,73,3,0.57,RU,1706841898
339,kirakira,-10.4544,161.9205,303.7,70,84,6.08,SB,1706841899
340,horta,38.5333,-28.6333,289.83,90,97,4.92,PT,1706841899
341,komsomolets,53.7453,62.0708,257.36,98,97,3.32,KZ,1706841899
342,saint-pierre,-21.3393,55.4781,297.97,83,100,9.77,RE,1706841900
343,lucea,18.451,-78.1736,298.07,70,99,4.37,JM,1706841900
344,olinda,-8.0089,-34.8553,301.0,74,40,2.57,BR,1706841749
345,nikolayevsk-on-amure,53.1406,140.73,255.74,83,100,3.48,RU,1706841900
346,multai,21.7667,78.25,292.7,44,22,3.2,IN,1706841901
347,kuliyapitiya,7.4688,80.0401,297.97,87,80,0.95,LK,1706841901
348,bull savanna,17.8868,-77.5902,293.78,81,59,2.81,JM,1706841901
349,glace bay,46.1969,-59.957,271.96,87,100,2.06,CA,1706841902
350,auki,-8.7676,160.7034,302.75,72,84,3.95,SB,1706841902
351,sao luiz gonzaga,-28.4083,-54.9608,293.8,76,0,3.27,BR,1706841903
352,badger,64.8,-147.5333,238.6,69,75,0.0,US,1706841903
353,jayapura,-2.5333,140.7,304.81,74,97,4.36,ID,1706841904
354,hacibektas,38.9408,34.5577,264.92,86,0,2.57,TR,1706841904
355,bikenibeu village,1.3673,173.1241,305.13,79,75,3.6,KI,1706841904
356,ketchikan,55.3422,-131.6461,282.14,93,100,2.06,US,1706841905
357,inyati,-19.6756,28.8469,287.92,84,13,3.79,ZW,1706841905
358,celestun,20.8667,-90.4,294.56,75,100,4.32,MX,1706841905
359,paita,-5.0892,-81.1144,297.62,84,100,5.51,PE,1706841906
360,susuman,62.7833,148.1667,247.03,100,100,0.45,RU,1706841906
361,bantogon,6.5333,124.0333,300.7,79,92,2.44,PH,1706841906
362,betio village,1.358,172.9211,305.17,79,100,7.02,KI,1706841906
